FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_6655,01-12-2018 00:00:00,3,Bon,AtmoSud,commune,06088,Nice,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_6656,01-12-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_6657,01-12-2018 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,3,0,2,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_6658,01-12-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_6659,01-12-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,2,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_665a,02-01-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_665b,02-01-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,4,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_665c,02-01-2018 00:00:00,3,Bon,AtmoSud,commune,13001,Aix-en-Provence,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_665d,02-01-2018 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_665e,02-01-2018 00:00:00,3,Bon,AtmoSud,commune,83137,Toulon,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_665f,02-01-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_6660,02-01-2019 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,4,0,#8DA71E
